number,code,description
923,AUD01,generic/house/mosaic; script will create a clean text placeholder if no official logo found
924,AUD02,generic/house/mosaic; script will create a clean text placeholder if no official logo found
925,AUD03,generic/house/mosaic; script will create a clean text placeholder if no official logo found
926,AUD04,generic/house/mosaic; script will create a clean text placeholder if no official logo found
927,AUD05,generic/house/mosaic; script will create a clean text placeholder if no official logo found
928,AUD06,generic/house/mosaic; script will create a clean text placeholder if no official logo found
929,AUD07,generic/house/mosaic; script will create a clean text placeholder if no official logo found
930,AUD08,generic/house/mosaic; script will create a clean text placeholder if no official logo found
931,AUD09,generic/house/mosaic; script will create a clean text placeholder if no official logo found
933,AUD10,generic/house/mosaic; script will create a clean text placeholder if no official logo found
934,AUD11,generic/house/mosaic; script will create a clean text placeholder if no official logo found
935,AUD12,generic/house/mosaic; script will create a clean text placeholder if no official logo found
936,AUD13,generic/house/mosaic; script will create a clean text placeholder if no official logo found
